"subject" "activity"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingupstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "standing"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "sitting"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "laying"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walking"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingdownstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
3 "walkingupstairs"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "standing"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "sitting"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "laying"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walking"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingdownstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
5 "walkingupstairs"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "standing"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "sitting"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "laying"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walking"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingdownstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
6 "walkingupstairs"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingupstairs"
7 "walkingupstairs"
7 "walkingupstairs"
7 "walkingupstairs"
7 "walkingupstairs"
7 "walkingupstairs"
7 "walkingupstairs"
7 "walkingupstairs"
7 "walkingupstairs"
7 "walkingupstairs"
7 "walkingupstairs"
7 "walkingupstairs"
7 "walkingupstairs"
7 "walkingupstairs"
7 "walkingupstairs"
7 "walkingupstairs"
7 "walkingupstairs"
7 "walkingupstairs"
7 "walkingupstairs"
7 "walkingupstairs"
7 "walkingupstairs"
7 "walkingupstairs"
7 "walkingupstairs"
7 "walkingupstairs"
7 "walkingupstairs"
7 "walkingupstairs"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "standing"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "sitting"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "laying"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walking"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
7 "walkingdownstairs"
